itemId,moduleId,status,fieldsChanged,shortReason
daily_life_001,daily_life,PASS,,PASS
daily_life_002,daily_life,PASS,,PASS
daily_life_003,daily_life,PASS,,PASS
daily_life_004,daily_life,FIXED,variants,语法修正
daily_life_005,daily_life,PASS,,PASS
daily_life_006,daily_life,PASS,,PASS
daily_life_007,daily_life,PASS,,PASS
daily_life_008,daily_life,PASS,,PASS
daily_life_009,daily_life,PASS,,PASS
daily_life_010,daily_life,PASS,,PASS
daily_life_011,daily_life,PASS,,PASS
daily_life_013,daily_life,PASS,,PASS
daily_life_015,daily_life,PASS,,PASS
daily_life_016,daily_life,PASS,,PASS
daily_life_017,daily_life,PASS,,PASS
daily_life_018,daily_life,PASS,,PASS
daily_life_019,daily_life,PASS,,PASS
daily_life_020,daily_life,PASS,,PASS
daily_life_021,daily_life,PASS,,PASS
daily_life_022,daily_life,PASS,,PASS
daily_life_023,daily_life,PASS,,PASS
daily_life_024,daily_life,PASS,,PASS
daily_life_025,daily_life,PASS,,PASS
daily_life_026,daily_life,PASS,,PASS
daily_life_027,daily_life,PASS,,PASS
daily_life_028,daily_life,PASS,,PASS
daily_life_029,daily_life,PASS,,PASS
daily_life_030,daily_life,PASS,,PASS
daily_life_031,daily_life,PASS,,PASS
daily_life_033,daily_life,PASS,,PASS
daily_life_034,daily_life,PASS,,PASS
daily_life_035,daily_life,PASS,,PASS
daily_life_036,daily_life,PASS,,PASS
daily_life_037,daily_life,PASS,,PASS
daily_life_038,daily_life,PASS,,PASS
daily_life_039,daily_life,PASS,,PASS
daily_life_040,daily_life,PASS,,PASS
daily_life_041,daily_life,PASS,,PASS
daily_life_042,daily_life,PASS,,PASS
daily_life_043,daily_life,PASS,,PASS
daily_life_044,daily_life,PASS,,PASS
daily_life_045,daily_life,PASS,,PASS
daily_life_046,daily_life,PASS,,PASS
daily_life_047,daily_life,PASS,,PASS
daily_life_048,daily_life,PASS,,PASS
daily_life_049,daily_life,PASS,,PASS
daily_life_050,daily_life,PASS,,PASS
daily_life_051,daily_life,PASS,,PASS
daily_life_052,daily_life,PASS,,PASS
daily_life_053,daily_life,PASS,,PASS
daily_life_054,daily_life,PASS,,PASS
daily_life_055,daily_life,PASS,,PASS
daily_life_056,daily_life,PASS,,PASS
daily_life_058,daily_life,PASS,,PASS
daily_life_059,daily_life,PASS,,PASS
daily_life_060,daily_life,PASS,,PASS
emergency_safety_002,emergency_safety,PASS,,PASS
emergency_safety_004,emergency_safety,PASS,,PASS
emergency_safety_018,emergency_safety,PASS,,PASS
emergency_safety_020,emergency_safety,PASS,,PASS
emergency_safety_022,emergency_safety,PASS,,PASS
emergency_safety_023,emergency_safety,PASS,,PASS
emergency_safety_024,emergency_safety,PASS,,PASS
emergency_safety_025,emergency_safety,PASS,,PASS
emergency_safety_027,emergency_safety,PASS,,PASS
emergency_safety_029,emergency_safety,PASS,,PASS
emergency_safety_030,emergency_safety,PASS,,PASS
emergency_safety_031,emergency_safety,PASS,,PASS
emergency_safety_033,emergency_safety,PASS,,PASS
emergency_safety_036,emergency_safety,PASS,,PASS
emergency_safety_038,emergency_safety,PASS,,PASS
emergency_safety_048,emergency_safety,PASS,,PASS
emergency_safety_049,emergency_safety,PASS,,PASS
emergency_safety_050,emergency_safety,PASS,,PASS
delivery_complaints_001,delivery_complaints,PASS,,PASS
delivery_complaints_002,delivery_complaints,PASS,,PASS
delivery_complaints_003,delivery_complaints,PASS,,PASS
delivery_complaints_004,delivery_complaints,PASS,,PASS
delivery_complaints_005,delivery_complaints,PASS,,PASS
delivery_complaints_006,delivery_complaints,PASS,,PASS
delivery_complaints_008,delivery_complaints,PASS,,PASS
delivery_complaints_010,delivery_complaints,PASS,,PASS
delivery_complaints_011,delivery_complaints,PASS,,PASS
delivery_complaints_013,delivery_complaints,PASS,,PASS
delivery_complaints_017,delivery_complaints,PASS,,PASS
delivery_complaints_018,delivery_complaints,PASS,,PASS
delivery_complaints_019,delivery_complaints,PASS,,PASS
delivery_complaints_023,delivery_complaints,PASS,,PASS
delivery_complaints_028,delivery_complaints,PASS,,PASS
delivery_complaints_029,delivery_complaints,PASS,,PASS
delivery_complaints_030,delivery_complaints,PASS,,PASS
delivery_complaints_031,delivery_complaints,PASS,,PASS
delivery_complaints_039,delivery_complaints,PASS,,PASS
delivery_complaints_041,delivery_complaints,PASS,,PASS
delivery_complaints_046,delivery_complaints,PASS,,PASS
delivery_complaints_048,delivery_complaints,PASS,,PASS
delivery_complaints_055,delivery_complaints,PASS,,PASS
delivery_complaints_058,delivery_complaints,PASS,,PASS
front_counter_001,front_counter,PASS,,PASS
front_counter_004,front_counter,PASS,,PASS
front_counter_005,front_counter,PASS,,PASS
